ordinal,column,row_count,nonblank_count,blank_count,blank_pct,fully_blank,distinct_nonblank_count,sample_values,action,reason_to_keep_or_drop
141,operating_cash_flow_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
142,operating_cash_flow_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
143,operating_cash_flow_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
144,operating_cash_flow_value_fact_period_type,17651,17651,0,0.0000,0,2,derived_qtd_from_ytd | quarterly,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
145,operating_cash_flow_value_fact_selection_reason,17651,17651,0,0.0000,0,2,derived_current_ytd_minus_prior_ytd | selected_quarterly_fact,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
146,operating_cash_flow_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
147,operating_cash_flow_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
148,operating_cash_flow_value_fact_frame,17651,2304,15347,86.9469,0,21,CY2022Q1 | CY2021Q1 | CY2022Q2 | CY2022Q3 | CY2022Q4,keep,Populated field with row-level data; keep unless output contract is narrowed.
149,operating_cash_flow_value_derivation_formula,17651,12417,5234,29.6527,0,1,current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
150,operating_cash_flow_value_derivation_source_facts_json,17651,12417,5234,29.6527,0,>1000,"[{""accession"": ""0001090872-22-000012"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-31"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000320193-22-000059"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""end"": ""2022-03-26"", ""filed"": ""2022-04-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000771497-22-000013"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-09"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000796343-22-000157"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""end"": ""2022-06-03"", ""filed"": ""2022-06-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000006281-22-000168"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-18"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"", ",keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
151,investing_cash_flow_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
152,investing_cash_flow_value_fact_concept,17651,17651,0,0.0000,0,1,NetCashProvidedByUsedInInvestingActivities,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
153,investing_cash_flow_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
154,investing_cash_flow_value_fact_start,17651,17651,0,0.0000,0,235,2021-11-01 | 2022-01-01 | 2022-01-02 | 2021-09-26 | 2021-12-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
155,investing_cash_flow_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
156,investing_cash_flow_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
157,investing_cash_flow_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
158,investing_cash_flow_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
159,investing_cash_flow_value_fact_period_type,17651,17651,0,0.0000,0,2,derived_qtd_from_ytd | quarterly,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
160,investing_cash_flow_value_fact_selection_reason,17651,17651,0,0.0000,0,2,derived_current_ytd_minus_prior_ytd | selected_quarterly_fact,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
161,investing_cash_flow_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
162,investing_cash_flow_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
163,investing_cash_flow_value_fact_frame,17651,2293,15358,87.0092,0,20,CY2022Q1 | CY2021Q1 | CY2022Q2 | CY2022Q3 | CY2022Q4,keep,Populated field with row-level data; keep unless output contract is narrowed.
164,investing_cash_flow_value_derivation_formula,17651,12419,5232,29.6414,0,1,current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
165,investing_cash_flow_value_derivation_source_facts_json,17651,12419,5232,29.6414,0,>1000,"[{""accession"": ""0001090872-22-000012"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-31"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000320193-22-000059"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""end"": ""2022-03-26"", ""filed"": ""2022-04-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000771497-22-000013"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-09"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000796343-22-000157"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""end"": ""2022-06-03"", ""filed"": ""2022-06-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000006281-22-000168"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-18"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"", ",keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
166,financing_cash_flow_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
167,financing_cash_flow_value_fact_concept,17651,17651,0,0.0000,0,1,NetCashProvidedByUsedInFinancingActivities,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
168,financing_cash_flow_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
169,financing_cash_flow_value_fact_start,17651,17651,0,0.0000,0,235,2021-11-01 | 2022-01-01 | 2022-01-02 | 2021-09-26 | 2021-12-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
170,financing_cash_flow_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
171,financing_cash_flow_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
172,financing_cash_flow_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
173,financing_cash_flow_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
174,financing_cash_flow_value_fact_period_type,17651,17651,0,0.0000,0,2,derived_qtd_from_ytd | quarterly,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
175,financing_cash_flow_value_fact_selection_reason,17651,17651,0,0.0000,0,2,derived_current_ytd_minus_prior_ytd | selected_quarterly_fact,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
176,financing_cash_flow_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
177,financing_cash_flow_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
178,financing_cash_flow_value_fact_frame,17651,2286,15365,87.0489,0,20,CY2022Q1 | CY2021Q1 | CY2022Q2 | CY2022Q3 | CY2022Q4,keep,Populated field with row-level data; keep unless output contract is narrowed.
179,financing_cash_flow_value_derivation_formula,17651,12420,5231,29.6357,0,1,current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
180,financing_cash_flow_value_derivation_source_facts_json,17651,12420,5231,29.6357,0,>1000,"[{""accession"": ""0001090872-22-000012"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-31"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000320193-22-000059"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""end"": ""2022-03-26"", ""filed"": ""2022-04-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000771497-22-000013"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-09"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000796343-22-000157"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""end"": ""2022-06-03"", ""filed"": ""2022-06-29"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"",  | [{""accession"": ""0000006281-22-000168"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""end"": ""2022-04-30"", ""filed"": ""2022-05-18"", ""form"": ""10-Q"", ""namespace"": ""us-gaap"", ",keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
181,tier_0_to_4_any_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
182,tier_1_to_4_any_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
183,tier_0_bucket,17651,5786,11865,67.2200,0,1,Tier 0 - Broad right-tail scouting universe,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
184,tier_1_bucket,17651,3403,14248,80.7206,0,1,Tier 1 - Balanced priority feed,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
185,tier_2_bucket,17651,2073,15578,88.2556,0,1,Tier 2 - High-priority compact feed,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
186,tier_3_bucket,17651,1102,16549,93.7567,0,1,Tier 3 - Revised dislocation feed,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
187,tier_4_bucket,17651,708,16943,95.9889,0,1,"Tier 4 - Ultra-distressed tag, not a production tier",keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
188,tier_structure_score,17651,17651,0,0.0000,0,7,0 | 30 | 10 | 29 | 25,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
189,post_llm_tier_1_1_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
190,post_llm_tier_1_2_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
191,post_llm_tier_1_3_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
192,post_llm_tier_1_4_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
193,post_llm_tier_2_1_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
194,post_llm_tier_2_2_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
195,post_llm_tier_2_3_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
196,post_llm_tier_3_1_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
197,post_llm_tier_3_2_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
198,post_llm_tier_3_3_flag,17651,17651,0,0.0000,0,1,0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
199,post_llm_tier_3_4_flag,17651,17651,0,0.0000,0,1,0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
200,post_llm_tier_4_1_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
201,post_llm_tier_4_2_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
202,post_llm_tier_4_3_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
203,post_llm_sub_tier_bucket,17651,1734,15917,90.1762,0,39,Tier 1.1 - LLM-supported candidate;Tier 2.1 - LLM-supported | Tier 1.2 - Causal re-rating candidate | Tier 1.1 - LLM-supported candidate;Tier 1.4 - Clean high-priority subset | Tier 1.1 - LLM-supported candidate | Tier 1.1 - LLM-supported candidate;Tier 3.1 - Cleaner LLM-positive Tier 3,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
204,tier1_L1_llm_supported,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
205,tier1_L2_causal_rerating,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
206,tier1_L3_best_balanced,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
207,tier1_L4_clean_high_priority,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
208,tier1_L5_inflecting,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
209,tier1_L6_mid_price_rerater,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
210,tier1_L7_clean_non_distressed_rerater,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
211,tier2_L1_llm_supported,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
212,tier2_L2_causal_rerating,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
213,tier2_L3_best_balanced,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
214,tier3_L1_llm_supported,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
215,tier3_L2_inflecting,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
216,tier3_L3_persistent_positive,17651,17651,0,0.0000,0,1,0,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
217,tier3_L4_persistent_high_priority,17651,17651,0,0.0000,0,1,0,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
218,tier4_L1_llm_supported,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
219,tier4_L2_causal_rerating,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
220,tier4_L3_clean_high_priority,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
221,hp_any_flag,17651,17651,0,0.0000,0,2,1 | 0,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
222,hp0_high_price_broad,17651,17651,0,0.0000,0,2,1 | 0,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
223,hp1_quality_pullback,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
224,hp2_dislocation_momentum_priority,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
225,hp2_dislocation_momentum_watch,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
226,hp3_large_quality_theme_exception,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
227,hp4_score_reacceleration_watch,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
228,hp_production_extension,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
229,hp_research_extension,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
230,hp1_LLM_best,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
231,hp2_LLM_best,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
232,hp2_watch_LLM_best,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
233,hp3_theme_confirmed,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
234,hp4_LLM_supported,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
235,hp_LLM_best,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
236,hp_structure_score,17651,17651,0,0.0000,0,5,0 | 15 | 8 | 18 | 10,keep_sparse,Signal/theme/risk-model field. Sparse because only some rows trigger each signal.
237,llm_required_derived_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
238,llm_complete_derived_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
239,post_llm_candidate_derived_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
240,post_llm_high_priority_derived_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
241,post_llm_demote_derived_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
242,force_llm_extraction,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
243,llm_status,17651,17651,0,0.0000,0,2,not_required | complete,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
244,llm_required_for_full_buy_flag,17651,17651,0,0.0000,0,1,0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
245,entry_score_is_provisional,17651,17651,0,0.0000,0,1,0,keep,Score/ranking field used to explain candidate quality or scoring path.
246,has_post_llm,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
247,post_llm_missing_reason,17651,12246,5405,30.6215,0,1,source_not_populated,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
248,sample_id,17651,7302,10349,58.6312,0,>1000,AAOI_2022Q2 | ACCO_2022Q2 | ACVA_2022Q2 | ADBE_2022Q2 | ADEA_2022Q2,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
249,event_date,17651,7040,10611,60.1156,0,714,2022-05-06 | 2022-05-03 | 2022-06-01 | 2022-06-08 | 2022-05-05,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
250,proof_alignment,17651,7302,10349,58.6312,0,4,1 | 2 | 3 | 0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
251,confidence,17651,7302,10349,58.6312,0,3,high | medium | low,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
252,blocking_issues,17651,798,16853,95.4790,0,778,Packet contains historical segment information only; no current catalyst or forward evidence. | Revenue growth did not convert to profit; supply chain constraints limited sales of various products. | Current quarter financials deteriorated despite strong backlog; guidance unchanged rather than raised. | Large losses and cash burn make growth story expensive; profitability target distant. | Industry health and product launches did not overcome margin and supply constraints.,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
253,in_tier1_post_llm_file,17651,17651,0,0.0000,0,1,0,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
254,in_tier2_post_llm_file,17651,17651,0,0.0000,0,1,0,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
255,in_tier3_post_llm_file,17651,17651,0,0.0000,0,1,0,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
256,in_tier4_post_llm_file,17651,17651,0,0.0000,0,1,0,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
257,in_hp1_hp4_post_llm_file,17651,17651,0,0.0000,0,1,0,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
258,post_llm_fundamental_score,17651,5405,12246,69.3785,0,16,2 | 0 | 6 | -1 | 7,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
259,post_llm_fundamental_score_source,17651,5405,12246,69.3785,0,1,derived_from_llm_components,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
260,post_llm_fundamental_bucket,17651,5405,12246,69.3785,0,4,neutral | constructive | deteriorating | inflecting,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
261,post_llm_any_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
262,post_llm_candidate_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
263,post_llm_high_priority_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
264,post_llm_demote_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
265,post_llm_demote_severity,17651,3216,14435,81.7801,0,3,soft | unknown | hard,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
266,post_llm_demote_reason_code,17651,3757,13894,78.7151,0,13,weak_fundamentals | margin_pressure | high_leverage | fraud_or_integrity | accounting_quality,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
267,post_llm_demote_overrideable,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
268,post_llm_demote_evidence,17651,3759,13892,78.7038,0,>1000,"GAAP net loss was $16.1 million; non-GAAP net loss was $7.9 million; gross margin remained low despite customer wins. | Revenue growth and demand are strong, but GAAP result was a net loss and filing lists manufacturing, supply chain, and ADVA combination risks. | Revenue and adjusted EBITDA grew, but net income declined, personal care volumes were hit by Omicron, and tight labor market remains a constraint. | GAAP net loss per share was $(0.55), compared to $(0.24); FY GAAP net loss per share was $(1.84), compared to $(0.83). | GAAP net income decreased; adjusted EBITDA decreased; cash flow from operations and free cash flow fell due to disbursement timing, collections, and inventory purchases.",keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
269,causal_change,17651,7302,10349,58.6312,0,8,2.0 | 2 | 1 | 3.0 | 0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
270,negative_revision_risk,17651,7302,10349,58.6312,0,12,2.0 | 3.0 | 1.0 | 3 | 5.0,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
271,negative_revision_risk_flag,17651,17651,0,0.0000,0,2,0 | 1,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
272,story_vs_numbers_gap_penalty,17651,7302,10349,58.6312,0,4,1 | 2 | 0 | 3,keep,Score/ranking field used to explain candidate quality or scoring path.
273,narrative_delta_score,17651,7040,10611,60.1156,0,16,2 | 4 | -1 | 3 | 9,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
274,narrative_delta_bucket,17651,7302,10349,58.6312,0,5,neutral | constructive | deteriorating | inflecting | unscorable,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
275,operating_leverage_quality,17651,7302,10349,58.6312,0,3,0 | 1 | 2,keep,Score/ranking field used to explain candidate quality or scoring path.
276,durability,17651,7302,10349,58.6312,0,3,2 | 1 | 0,keep,Score/ranking field used to explain candidate quality or scoring path.
277,score_addition,17651,7040,10611,60.1156,0,4,0 | 1 | -3 | 3,keep,Score/ranking field used to explain candidate quality or scoring path.
278,detected_driver_category,17651,7003,10648,60.3252,0,>1000,telecom_fiber_infrastructure | healthcare_home_based_care | technology | cycle | sector,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
279,detected_driver_name,17651,7012,10639,60.2742,0,>1000,fiber access and cloud software demand | home-based care demand and acquisition expansion | Enterprise AI software adoption | historical segment restatement only | connected-property SaaS and video analytics,keep_sparse,LLM/audit field. Blank for rows that did not need LLM review; populated when LLM evidence exists.
